date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Upper Band,Real Lower Band
2021-06-23 10:45:00,265.46,265.46,264.87,265.1169,956242.0,-0.3133,265.9691,43.737,265.9691,266.6505,265.2877
2021-06-23 11:00:00,265.1,265.17,264.6399,264.85,647314.0,-0.2936,265.9301,41.3153,265.9301,266.7581,265.102
2021-06-23 11:15:00,264.88,264.97,264.43,264.94,638869.0,-0.3573,265.8826,42.4465,265.8826,266.8166,264.9485
2021-06-23 11:30:00,264.96,265.24,264.875,265.2201,498462.0,-0.2932,265.8436,45.8648,265.8436,266.8189,264.8682
2021-06-23 11:45:00,265.22,265.63,265.08,265.57,491631.0,-0.2179,265.8146,49.7864,265.8146,266.7863,264.8429
2021-06-23 12:00:00,265.5601,265.61,265.33,265.35,412626.0,-0.3231,265.7716,47.5086,265.7716,266.7456,264.7976
2021-06-23 12:15:00,265.35,265.3699,264.98,265.02,353086.0,-0.4433,265.7126,44.3079,265.7126,266.7181,264.7071
2021-06-23 12:30:00,265.02,265.12,264.9341,264.9522,345284.0,-0.2026,265.6857,43.6715,265.6857,266.7411,264.6303
2021-06-23 12:45:00,264.93,264.97,264.43,264.94,506026.0,-0.4621,265.6242,43.5531,265.6242,266.7026,264.5458
2021-06-23 13:00:00,264.94,265.25,264.905,264.9285,474285.0,-0.5225,265.5546,43.4361,265.5546,266.624,264.4852
2021-06-23 13:15:00,264.93,265.22,264.77,265.2,533276.0,-0.4542,265.4941,46.9737,265.4941,266.498,264.4902
2021-06-23 13:30:00,265.2,265.605,265.2,265.5,455752.0,-0.2592,265.4596,50.5695,265.4596,266.4115,264.5077
2021-06-23 13:45:00,265.49,265.53,265.1401,265.16,257777.0,-0.3682,265.4106,46.7847,265.4106,266.3172,264.504
2021-06-23 14:00:00,265.16,265.3,265.03,265.28,250877.0,-0.3714,265.3612,48.2244,265.3612,266.1786,264.5437
2021-06-23 14:15:00,265.26,265.31,264.88,265.11,393441.0,-0.4095,265.3067,46.3543,265.3067,266.0334,264.5799
2021-06-23 14:30:00,265.1,265.1,264.85,264.93,397284.0,-0.2184,265.2777,44.4339,265.2777,266.0159,264.5395
2021-06-23 14:45:00,264.93,265.37,264.835,265.263,386644.0,-0.2846,265.2398,48.5822,265.2398,265.8948,264.5848
2021-06-23 15:00:00,265.26,265.36,265.14,265.245,390243.0,-0.3458,265.1938,48.3767,265.1938,265.693,264.6946
2021-06-23 15:15:00,265.25,265.3499,265.01,265.33,356490.0,-0.1881,265.1688,49.4397,265.1688,265.5804,264.7571
2021-06-23 15:30:00,265.33,265.61,265.2313,265.57,519421.0,0.0377,265.1738,52.3558,265.1738,265.602,264.7455
2021-06-23 15:45:00,265.56,265.614,265.34,265.5,543948.0,0.1445,265.1929,51.4448,265.1929,265.643,264.7429
2021-06-23 16:00:00,265.495,265.62,265.09,265.27,1403897.0,0.1586,265.2139,48.5248,265.2139,265.6364,264.7915
2021-06-23 16:15:00,265.275,265.275,265.12,265.275,953312.0,0.1264,265.2307,48.5916,265.2307,265.6345,264.8269
2021-06-23 16:30:00,265.275,265.275,265.15,265.15,4040.0,-0.0264,265.2272,46.9876,265.2272,265.6325,264.8218
